Index,Name,Value,Error,Initial,Fix,Min,Max,,
0,R0,0.000000,,0.000000,1,0.000000,0.000000,,
1,R1,10.923297,,10.923297,1,1.092330,20.754264,,
2,f1,1590.644005,,1590.644005,1,159.064400,3022.223609,,
3,n1,0.712000,,0.712000,1,0.071200,1,,
2,R2,7.504553,,7.504553,1,0.750455,14.258650,,
4,f2,13658.854242,,13658.854242,1,1365.885424,25951.823060,,
6,n2,0.744000,,0.744000,1,0.074400,1,,
3,R3,0.977815,,0.977815,1,0.097781,1.857848,,
6,f3,116.591765,,116.591765,1,11.659177,221.524354,,
9,n3,0.870000,,0.870000,1,0.087000,1,,
